name
Sunrise
AIC
Kinema Citrus
Byron Howard
Vincent Paronnaud
Hideaki Anno
Satoshi Kon
Ron Clements
Gary Trousdale
Katsuhiro Ôtomo
Wes Anderson
Andrew Adamson
Yoshifumi Kondô
Mamoru Oshii
Henry Selick
Tatsuya Nagamine
Dorota Kobiela
Don Hall
Shin'ichirô Watanabe
Yoshiaki Kawajiri
Kevin Altieri
Travis Knight
Nora Twomey
Hiromasa Yonebayashi
Claude Barras
Josh Cooley
Rich Moore
Mark Osborne
Phil Lord
Nathan Greno
Sylvain Chomet
Richard Linklater
Trey Parker
Robert Zemeckis
René Laloux
James Algar
Michael Rianda
Pierre Coffin
Tony Bancroft
Wolfgang Reitherman
William Cottrell
Orange
Wit Studio & CloverWorks
Pastel
E&H Production
Lapin Track
Studio Kafka
AtelierPontdarc
BUG FILMS
AIC Classic
Liber
I.Gzwei
Studio Massket
Fuji TV
The Answer Studio
Grouper Productions
JCF
Kaname Productions
Palm Studio
Studio M2
Karaku
Japan Vistec
Team TillDawn
Zuiyo
Phoenix Entertainment
studio MOTHER
Public & Basic
OZ
LIDENFILMS Kyoto Studio
